CITY,STATEID,VENUE_NAME,LAT,LNG,CATEGORY,CATEGORY_SHORT
Albany,OH,US Post Office,39.228554901177176,-82.20244824886322,Post Office,Post Office
Albany,OH,Hocking Valley Bank,39.22928521419747,-82.20252560738255,Bank,Bank
Albany,OH,BP / 7-Eleven,39.22903900779436,-82.20191985368729,Gas Station,Gas Station
Albany,OH,Dollar General,39.22757339477539,-82.2023696899414,Discount Store,Discount Store
Albany,OH,Ray\'s Harvest House,39.227582522431206,-82.19745934009552,Diner,Diner
Albany,OH,Athens Transmissions Limited,39.27486,-82.15532,Automotive Shop,Automotive
Albany,OH,Alexander High School,39.241277692535796,-82.18515872955322,High School,High School
Albany,OH,Sun Electric,39.243284,-82.185082,Office,Office
Alderson,WV,Amtrak Station - Alderson (ALD),37.72473449828769,-80.64509868621826,Train Station,Train Station
Alderson,WV,Family Dollar,37.72690822697371,-80.63899730933375,Discount Store,Discount Store
Alderson,WV,Old Greenbrier Baptist Church,37.72799795234261,-80.63696500557094,Church,Church
Alderson,WV,Alderson Depot Musem,37.724255,-80.644203,History Museum,History Museum
Alderson,WV,Alderson Patriotic Days: Fireworks,37.727725982666016,-80.63667297363281,Event Space,Event Space
Alderson,WV,Greenbrier River Campground,37.74091590643465,-80.57374330336938,Campground,Campground
Alderson,WV,Exxon,37.72602,-80.6427,Gas Station,Gas Station
Alderson,WV,BP,37.728697,-80.63253,Gas Station,Gas Station
Alexandria,KY,St. Paul\'s Church,38.958796,-84.389458,Church,Church
Alexandria,KY,Alexandria Church Of God,38.959861,-84.388525,Church,Church
Alexandria,KY,KOI Auto Parts,38.959292,-84.387442,Automotive Shop,Automotive
Alexandria,KY,Seibert\'s,38.959292,-84.388893,Automotive Shop,Automotive
Alexandria,KY,Enterprise Rent-A-Car,38.9614151,-84.3945764,Rental Car Location,Rental Car
Alexandria,KY,Penske Truck Rental,38.95180405630715,-84.39386397600174,Rental Service,Rental Service
Alexandria,KY,Kentucky Motors,38.95941547179489,-84.38742488440406,Automotive Shop,Automotive
Alexandria,KY,Southern States farm store,38.95849845448125,-84.38843071310734,Hardware Store,Hardware
Alexandria,KY,Campbell County Schools Transportation,38.96625589660618,-84.38943652462703,School,School
Alexandria,KY,Gold Star Chili,38.963153,-84.393328,American Restaurant,American
Alexandria,OH,US Post Office,40.08905151757665,-82.61255335273934,Post Office,Post Office
Alexandria,OH,Ragamuffins Coffee House,40.0889871157403,-82.61266295351497,Coffee Shop,Coffee Shop
Alexandria,OH,Market + Domain,40.089156,-82.612476,Convenience Store,Convenience Store
Alexandria,OH,The Village Spa,40.089203000000005,-82.61234300000001,Spa,Spa
Alexandria,OH,Sunbear Studio And Gallary,40.088751658667064,-82.61256795450466,Art Gallery,Art Gallery
Alexandria,OH,Drummies Pizzeria,40.089234709739685,-82.61253654956818,Pizza Place,Pizza
Alexandria,OH,Woodmasters if Alexandria,40.08900662524588,-82.61195045771721,Furniture / Home Store,Furniture / Home
Alexandria,OH,Mootz Run Petali Tea Shop,40.076713,-82.594297,Food & Drink Shop,Food & Drink
Alexandria,OH,Village Taco,40.088603000000006,-82.612072,Vegetarian / Vegan Restaurant,Vegetarian / Vegan
Alexandria,OH,Spring House Health,40.088746,-82.611714,Doctor\'s Office,Doctor\'s Office
Alum Creek,WV,Alum Creek Post Office,38.285358,-81.806509,Post Office,Post Office
Alum Creek,WV,Hampton Southridge Wv,38.31631229033177,-81.71834333800916,Hotel,Hotel
Alum Creek,WV,Panera Bread,38.3175939979742,-81.71823441982269,Bakery,Bakery
Alum Creek,WV,Aspen Dental,38.31884995658091,-81.7184010357654,Dentist\'s Office,Dentist\'s Office
Alum Creek,WV,Cabela\'s,38.31456167048332,-81.71670891344547,Sporting Goods Shop,Sporting Goods
Alum Creek,WV,Bible Center Church (Southridge Campus),38.311349197361224,-81.72621385526084,Church,Church
Alum Creek,WV,Sam\'s Club Gasoline,38.288482719911975,-81.714738517302,Gas Station,Gas Station
Alum Creek,WV,7-Eleven,38.2960542,-81.7485731,Convenience Store,Convenience Store
Alum Creek,WV,Bojangles\' Famous Chicken \'n Biscuits,38.3165127,-81.7201955,Restaurant,Restaurant
Amanda,OH,Amanda Carryout,39.64897349523127,-82.74187236283683,Gas Station,Gas Station
Amanda,OH,US Post Office,39.64918350676942,-82.741696747625,Post Office,Post Office
Amanda,OH,SUBWAY,39.64939728844455,-82.74371439024758,Sandwich Place,Sandwiches
Amanda,OH,Amanda Twp Firehouse,39.651141926992025,-82.74388821903472,Fire Station,Fire Station
Amanda,OH,Amanda Clearcreek Primary,39.65144760364808,-82.74018533128115,School,School
Amanda,OH,Taylor Funeral Home,39.649423,-82.743527,Funeral Home,Funeral Home
Amanda,OH,Louie Young Auto Sales,39.64935997992836,-82.7430770142004,Auto Dealership,Auto Dealer
Amanda,OH,Aces Diner,39.649362733333334,-82.74339166666667,Diner,Diner
Amanda,OH,Secret Santa,39.650057490394595,-82.74391731391349,Gift Shop,Gift Shop
Amanda,OH,Family Dollar,39.6490287,-82.73856469,Discount Store,Discount Store
Amelia,OH,Chase Bank,39.02793345594354,-84.21812027692789,Bank,Bank
Amelia,OH,Park National Bank,39.028327,-84.217565,Bank,Bank
Amelia,OH,Dollar General,39.028525,-84.218802,Discount Store,Discount Store
Amelia,OH,Amelia United Methodist Church,39.027166793787224,-84.2158915625908,Church,Church
Amelia,OH,US Post Office,39.02843480126353,-84.21955059190377,Post Office,Post Office
Amelia,OH,Main Street Animal Hospital,39.0236455,-84.2116435,Veterinarian,Veterinarians
Amelia,OH,"Law Offices of Rapp, Miller & Hunt",39.028066,-84.217696,Lawyer,Lawyer
Amelia,OH,Brandstetter Roofing,39.0234896,-84.2107929,Miscellaneous Shop,Shop
Amelia,OH,Tire Discounters,39.031946595622934,-84.22252581284738,Automotive Shop,Automotive
Amelia,OH,CARSTAR of Amelia,39.023548,-84.212613,Automotive Shop,Automotive
Amlin,OH,United States Post Office,40.07658,-83.179648,Post Office,Post Office
Amlin,OH,NiDovi Pizza & BBQ,40.076947,-83.180631,BBQ Joint,BBQ
Amlin,OH,Amlin Crossing Park,40.076557,-83.185007,Park,Park
Amlin,OH,Huntington Bank,40.06123801,-83.17990387,Bank,Bank
Amlin,OH,Giant Eagle Pharmacy,40.061257,-83.1798586,Pharmacy,Pharmacy
Amlin,OH,Great Clips,40.08089,-83.16919,Salon / Barbershop,Salon / Barbershop
Arcanum,OH,US Post Office,39.989603333908484,-84.55342322587967,Post Office,Post Office
Arcanum,OH,Troutwine Auto Sales Inc,39.99086,-84.55304,Auto Dealership,Auto Dealer
Arcanum,OH,Sunoco Gas Station,39.990109499088085,-84.55173943946706,Gas Station,Gas Station
Arcanum,OH,Faith United Methodist Church,39.99056491253327,-84.55193300330286,Church,Church
Arcanum,OH,DICK\'S Sporting Goods,39.99120894,-84.55464776,Sporting Goods Shop,Sporting Goods
Arcanum,OH,Tour de Donut,39.991148679528855,-84.55495208501816,Athletics & Sports,Athletics & Sports
Arcanum,OH,Sink Jewelers,39.991103,-84.553824,Jewelry Store,Jewelry
Arcanum,OH,Nationwide Insurance: Anthony D Roberts,40.00011826,-84.55380249,Financial or Legal Service,Financial / Legal
Arcanum,OH,Miller\'s Tavern,39.99075803691865,-84.55424203366408,Pub,Pub
Arcanum,OH,Da Swole Factory,39.991279769791866,-84.55462521082482,Gym,Gym
Ashland,KY,Ashland Police Department,38.47873600519528,-82.63798075389987,Police Station,Police Station
Ashland,KY,The Old Post Office,38.478538,-82.63854599999999,Museum,Museum
Ashland,KY,City Of Ashland,38.47877651330155,-82.63773322105408,City Hall,City Hall
Ashland,KY,Don Hall Chevrolet Inc,38.4781981,-82.6364797,Auto Dealership,Auto Dealer
Ashland,KY,Don Hall SuperCenter,38.478252,-82.635376,Auto Dealership,Auto Dealer
Ashland,KY,FASTSIGNS,38.479643,-82.638212,Business Service,Business Services
